unicode_codepoint,sign_name,count,percentage,cumulative_percentage
U+106DC,LINEAR A SIGN A552,2,0.0298,97.5097
U+10677,LINEAR A SIGN A331,2,0.0298,97.5395
U+1069E,LINEAR A SIGN A370,2,0.0298,97.5693
U+106F3,LINEAR A SIGN A580,2,0.0298,97.5992
U+106E9,LINEAR A SIGN A570,2,0.0298,97.6290
U+106C3,LINEAR A SIGN A523,2,0.0298,97.6588
U+10646,LINEAR A SIGN AB087,2,0.0298,97.6886
U+106C1,LINEAR A SIGN A520,2,0.0298,97.7185
U+1067A,LINEAR A SIGN A334,2,0.0298,97.7483
U+1074C,LINEAR A SIGN A709-6 L6,2,0.0298,97.7781
U+1067B,LINEAR A SIGN A335,2,0.0298,97.8079
U+1067C,LINEAR A SIGN A336,2,0.0298,97.8378
U+1060E,LINEAR A SIGN AB020,2,0.0298,97.8676
U+1068C,LINEAR A SIGN A352,2,0.0298,97.8974
U+10721,LINEAR A SIGN A640,2,0.0298,97.9272
U+106B3,LINEAR A SIGN A501,2,0.0298,97.9571
U+106B1,LINEAR A SIGN A417-VAS,2,0.0298,97.9869
U+10725,LINEAR A SIGN A645,2,0.0298,98.0167
U+106DD,LINEAR A SIGN A553,2,0.0298,98.0465
U+1067E,LINEAR A SIGN A338,2,0.0298,98.0763
U+1074A,LINEAR A SIGN A709-3 L3,2,0.0298,98.1062
U+106FB,LINEAR A SIGN A588,2,0.0298,98.1360
U+10731,LINEAR A SIGN A659,2,0.0298,98.1658
U+1067F,LINEAR A SIGN A339,2,0.0298,98.1956
U+106BE,LINEAR A SIGN A513,2,0.0298,98.2255
U+10651,LINEAR A SIGN AB171,2,0.0298,98.2553
U+1065F,LINEAR A SIGN A309C,2,0.0298,98.2851
U+1070C,LINEAR A SIGN A611,2,0.0298,98.3149
U+10697,LINEAR A SIGN A363,2,0.0298,98.3448
U+106D1,LINEAR A SIGN A538,1,0.0149,98.3597
U+106BC,LINEAR A SIGN A511,1,0.0149,98.3746
U+106F9,LINEAR A SIGN A586,1,0.0149,98.3895
U+106F8,LINEAR A SIGN A585,1,0.0149,98.4044
U+10723,LINEAR A SIGN A643,1,0.0149,98.4193
U+106CA,LINEAR A SIGN A530,1,0.0149,98.4342
U+106CB,LINEAR A SIGN A531,1,0.0149,98.4492
U+106D2,LINEAR A SIGN A539,1,0.0149,98.4641
U+106FE,LINEAR A SIGN A592,1,0.0149,98.4790
U+106FD,LINEAR A SIGN A591,1,0.0149,98.4939
U+106AF,LINEAR A SIGN A415-VAS,1,0.0149,98.5088
U+106B0,LINEAR A SIGN A416-VAS,1,0.0149,98.5237
U+10726,LINEAR A SIGN A646,1,0.0149,98.5386
U+106D0,LINEAR A SIGN A537,1,0.0149,98.5535
U+106C5,LINEAR A SIGN A525,1,0.0149,98.5684
U+106C2,LINEAR A SIGN A521,1,0.0149,98.5834
U+106A3,LINEAR A SIGN A403-VAS,1,0.0149,98.5983
